ECA,,,
Austria,AMEX EXPORT-IMPORT GMBH,"Swabs - Sterile swabs, specificatio","9 8,200.00"
Austria,AMEX EXPORT-IMPORT GMBH,"Syring 2ml and 5 ml with needle, an","112,750.00"
Austria,AMEX EXPORT-IMPORT GMBH,Syringe 2 ml with needle,"8 2,470.00"
Austria,AMEX EXPORT-IMPORT GMBH,Tritest Reagent for CD 3/4/45  with,"8 2,660.00"
Austria,AMEX EXPORT-IMPORT GMBH,Ventilator,"6 5,990.00"
Azerbaijan,BM Texnologiya,2nd tranche (20%)  final payme,"4 6,940.00"
Azerbaijan,Legenda CO,E) Controlling units or device,"6 6,240.00"
Azerbaijan,Legenda CO,"E) Controlling units or device , 80","6 6,240.00"
Azerbaijan,Hilal Elektrik Insh. Tur,E) Diesel generators,"386,080.00"
Azerbaijan,Hilal Elektrik Insh. Tur,E) Electrical  management devi,"158,980.00"
Azerbaijan,Legenda CO,E) Minivans or vans for IBM pr,"108,400.00"
Azerbaijan,SINAM MMC,E) Network routers,"1,081,140.00"
Azerbaijan,New Tech LLC,E) Network routers,"200,010.00"
Azerbaijan,SINAM MMC,E) Network routers second inst,"9 3,140.00"
Azerbaijan,Sun Master MMC,E) Notebook computers,"3 6,100.00"
Azerbaijan,NTC LLC,E) Software (license),"522,030.00"
Azerbaijan,GRAN ELECTRIC  A.S.,equipment,"142,190.00"
Azerbaijan,STREAMFORD WORLDWIDE LIMITED,equipment,"132,830.00"
Azerbaijan,Streamford Worldwide Limited,pay. foe equipment,"103,990.00"
Azerbaijan,AzNetComp MMC,Payment to AzNetCompt for proc,"6 2,080.00"
Azerbaijan,SINAM MMC,Payment to SINAM LLC according,"9 0,000.00"
Azerbaijan,SINAM MMC,Payment to Sinam LLC according,"5 0,000.00"
Azerbaijan,SINAM MMC,Payment to SINAM LLC for part,"8 5,500.00"
Azerbaijan,GRAN ELECTRIC  A.S.,procurment of special mechanic,"138,550.00"
Bangladesh,AAMRA NETWORKS LIMITED,Audio Conference Device,"4 3,560.00"
Bangladesh,BLUE CANVAS LTD,Billboard,"3 5,120.00"
Bangladesh,Sterling Multi Technologies Ltd,Crime Scene Kit for PRP,"103,410.00"
Bangladesh,Tech Valley Computers Ltd.,Delivery of 562 Open Licences,"276,750.00"
Bangladesh,Multistar Technologies,Desktop PC,"114,840.00"
Bangladesh,Initiative Limited,Desktop PC,"8 8,360.00"
Bangladesh,Information Solution Ltd,Desktop PC,"6 9,920.00"
Bangladesh,Flora Limited,Desktop PC,"4 2,470.00"
Bangladesh,Scheme Associates,Equipment and installation of,"3 9,940.00"
Bangladesh,RADIO TRANS.SA,"HF , VHF & Telecom Accesories as pe","3 1,810.00"
Bangladesh,Tech Valley Computers Ltd.,LAN Equipment & Installation f,"275,560.00"
Bangladesh,Tech Valley Networks Ltd,Laptop Computer with Docking s,"4 5,650.00"
Bangladesh,D Biz Corporation,Microsoft Office Professional,"3 3,960.00"
Bangladesh,Initiative Limited,Mobile Forensic Workstation,"7 3,500.00"
Bangladesh,Karnaphuli Industries Ltd.,Motor cycleBrand : YamahaMod,"8 3,670.00"
Bangladesh,Karnaphuli Industries Ltd.,Motor CycleBrand: YamahaMode,"160,170.00"
Bangladesh,Flora Limited,Personal Computer,"4 4,000.00"
Bangladesh,Flora Limited,Personal Printers,"3 7,230.00"
Bangladesh,Executive Technologies Ltd.,Photocopier,"6 7,810.00"
UNDP Continued,,,
Bangladesh,Trade Linkers Office Automation Ltd.,Photocopier,"6 5,700.00"
Bangladesh,Flora Limited,Printer,"232,100.00"
Bangladesh,Thakral Information Systems Pvt. Ltd.,Printer,"5 8,820.00"
Bangladesh,MYSTIC,Second Phase (40%) (Payment up,"162,880.00"
Bangladesh,BRACNet Ltd,Site Router- Cisco 1941,"6 9,690.00"
Bangladesh,Graphic Associates Ltd.,Two Finger Scanner for Rolled,"6 8,750.00"
Bangladesh,Honeycom Automation & Security Pvt. ltd.,Upgradation of CCTV Security S,"102,990.00"
Barbados,TOKMAKJIAN INTERNATIONAL INC.,TRUCK,"3 6,000.00"
Belarus,RESPUBLIKANSKIY TEATR BEL DRAMATURGII GU,"Conducting of guest performance ""Wh","3 2,000.00"
Belarus,PATRIARKH KOMPIUTER SERVIS,"DESKTOP ""PARTIARCH"" WITH KEYBO","3 4,210.00"
Belarus,ZHDANOVICH S. E. IP,E) Audio Visual Productions,"8 7,900.00"
Belarus,"NONSTOPMEDIA, CHUP",E) Audio Visual Productions (,"6 7,290.00"
Belarus,Tutankhamon CHUP,"E) Audio Visual Productions, f","4 7,150.00"
Belarus,"OOO ""COMPANY ALGIMED""",E) Laboratory Equipment (Therm,"3 8,300.00"
Belarus,DISTILAND OOO,PROJECTOR BenQ MX660P,"5 0,150.00"
Belarus,"LABORATORNYE I VESOVYE SISTEMY, OOO",THERMOSTATE ST1200M,"4 1,520.00"
Belgium,ZETES INDUSTRIES,Continuous support and mainten,"293,000.00"
Belgium,ZETES INDUSTRIES,"Coordination, supervision and","8 2,540.00"
Belgium,ZETES INDUSTRIES,Deployment of Hardware for the,"4 7,760.00"
Belgium,ZETES INDUSTRIES,Design and development of Biom,"6 1,350.00"
Belgium,Toyota Gibraltar Stockholdings Ltd,Land Cruiser 200 Station Wagon,"6 4,620.00"
Belgium,Toyota Gibraltar Stockholdings Ltd,Land Cruiser Hardtop 10 seater,"3 8,550.00"
Belgium,B.D.C INTERNATIONAL S.A.,SPARE PARTS FOR LAB. EQUIPMENT,"3 0,120.00"
Belgium,ZETES INDUSTRIES,"Supply of Software, including","107,770.00"
Belgium,ZETES INDUSTRIES,System (hardware and software),"6 0,360.00"
Belgium,Toyota Gibraltar Stockholdings Ltd,Toyota  land cruiser,"4 0,810.00"
Belgium,Toyota Gibraltar Stockholdings Ltd,Toyota Hillux pick up,"8 5,160.00"
Belgium,Toyota Gibraltar Stockholdings Ltd,Toyota Land Cruiser Prado,"4 1,170.00"
Benin,Ets GHELOU COMMUNICATION,20.000 Affiches type A1,"8 9,310.00"
Benin,Ets GHELOU COMMUNICATION,20.000 Affiches type A2,"6 8,540.00"
Benin,Toyota Gibraltar Stockholdings Ltd,A) Vehicles - Repair Supplies,"3 9,180.00"
Benin,Toyota Gibraltar Stockholdings Ltd,A) Vehicles - Repair Supplies/,"3 0,050.00"
Benin,ELLISSA MEGASTORE,Achat d'encre pour impression,"3 2,050.00"
Benin,Toyota Gibraltar Stockholdings Ltd,ACHAT VEHICULES PVM,"8 0,680.00"
Benin,Ets GHELOU COMMUNICATION,Affiche sensibilisat type A,"9 0,050.00"
Benin,Ets GHELOU COMMUNICATION,Affiche sensibilisat type B,"6 9,100.00"
Benin,BUFALO,"Bags, cotton","3 0,990.00"
Benin,COMMUNICATION  INGENIERIE SYSTEMES,Computer hardware or software,"100,190.00"
Benin,ETS EDITIONS FRIDZEL,E) Printing,"3 4,150.00"
Benin,Ets GHELOU COMMUNICATION,Expense Distribution,"159,150.00"
Benin,BENIN REGULATION,Fourniture de groupe électrogè,"4 1,370.00"
Benin,COMPTOIR BENINOIS DE PAPIERS,Paper Stcker A4,"5 9,820.00"
Benin,ENNOV,Premier payment avec une déduc,"240,810.00"
Benin,ENNOV,Premier payment avec une déduction,"240,810.00"
Benin,COMPTOIR BENINOIS DE PAPIERS,"Printers, automatic typewriter","200,010.00"
Benin,BETON SERVICES SARL,Réfect° infrastructures CPADD,"189,190.00"
Bhutan,Budget Fund Account,1st Qtr FR-NCSA-B 2011,"3 5,780.00"
Bhutan,Budget Fund Account,2nd Qtr FR-ILCCP 2011,"4 0,710.00"
Bhutan,Budget Fund Account,2nd Qtr interim FR(GLOF-DGM)A,"6 8,450.00"
Bhutan,Budget Fund Account,Expense Distribution,"3 9,660.00"
Bolivia,TAIYO MOTORS S.A.,ADQUISICIONN DE 8CAMIONETAS TB,"180,000.00"
Bolivia,CARLO FRANCO FLORES ESTEPA,E) Building Maintenance & Repa,"6 8,840.00"
Bolivia,VEZLA IMPORT EXPORT REPRESENTACIONES SRL,Pago correspondiente al 20% fi,"9 8,130.00"
Bolivia,CARLO FRANCO FLORES ESTEPA,REEMBOLSO DE GASTOS EN TRABAJO,"3 9,420.00"
Bolivia,ORG. ELECTORAL PLUR. TRIBUNAL SUP. ELECT,Rendicón anticipo may-jun/11,"3 3,000.00"
Bosnia,AC QUATTRO,"Automobiles, utility vehicles","122,190.00"
Bosnia,MY MEDICO,Druga isporuka urinskih screening t,"3 0,720.00"
Bosnia,AGRO SYSTEM AGS DOO,E) Agricultural machinery & eq,"7 0,330.00"
Bosnia,AGROMEHANIKA KOMERC,E) Agricultural machinery & eq,"6 7,050.00"
Bosnia,SEMIKEM DOO,E) Medical Kits,"3 5,410.00"
Bosnia,EXCLUSIVE  DOO,LOT 2 Desktops 61 psc,"6 5,670.00"
Bosnia,INFONET DOO,LOT 3 Firewall 17 psc,"7 1,310.00"
Bosnia,NEUTRINO DOO TUZLA,LOT 4. Mcrosoft Office Home an,"4 7,300.00"
Bosnia,ATTRADE DOO,Pregnant heifers - purchase an,"128,310.00"
Bosnia,HEKO DOO H&H,Purchase and delivery of raspb,"5 1,210.00"
Bosnia,GOREKS MM,Sheep farms - construction mat,"4 1,440.00"
Botswana,GOVERNMENT OF BOTSWANA (NACA),Expense Distribution,"8 5,950.00"
Botswana,SHARPS ELECTRICAL (PTY) LTD,SUPPLY AND INSTALLATION OF UPS,"3 3,470.00"
Brazil,NUCELLSYS GMBH,3o TA C 47-2411 06 - Peças de,"118,920.00"
Brazil,CTIS TECNOLOGIA S. A.,A) 20 Desktops computers,"4 0,690.00"
Brazil,Nextel Telecomunicacoes Ltda,A) Mobile phones,"181,850.00"
Brazil,EMPRESA BRASIL DE COMUNICAÇÃO S/A,ACTIVITY 2,"8 0,000.00"
Brazil,TECNOMINI ICPMMEI LTDA,Aquisição de 03 unidades de ex,"5 2,890.00"
Brazil,VALSPE COMÉRCIO DE INFORMÁTICA LTDA,Aquisição de 25 computadores c,"6 9,620.00"
Brazil,Toyota Gibraltar Stockholdings Ltd,AQUISICAO DE VEICULO,"3 9,420.00"
Brazil,Toyota Gibraltar Stockholdings Ltd,AQUISICAO VEICULO HILUX,"3 0,370.00"
Brazil,Toyota Gibraltar Stockholdings Ltd,AQUISICAO VEICULO LAND CRUISER,"4 7,480.00"
Brazil,PENSALAB EQUIPAMENTOS INDUSTRIAIS S.A,BRA/00/021 - Sub 8.4,"7 3,810.00"
Brazil,PROL EDITORA GRAFICA LTDA,BRA/00/021 Sub 1,"4 1,700.00"
Brazil,EPRI INTERNATIONAL,E) Busses,"545,990.00"
Brazil,HYDROGENICS CORPORATION,E) Busses,"186,870.00"
Brazil,Toyota Gibraltar Stockholdings Ltd,E) SUV - LHD HILUX DOUBLE CABIN 5 S,"3 4,790.00"
Brazil,EMPRESA BRASIL DE COMUNICAÇÃO S/A,EBC - Adesão ao contrato com a empr,"130,000.00"
Brazil,EMPRESA BRASIL DE COMUNICAÇÃO S/A,EBC - Adesão ao contrato firmado co,"8 7,830.00"
Brazil,NET &Co Comercio e Serviços em Informát,ENTREGA DA DOCUMENTAÇÃO COMPLE,"196,160.00"
Brazil,ARINOS QUÍMICA LTDA.,Expense Distribution,"4 8,560.00"
Brazil,PURCOM QUIMICA LTDA,Expense Distribution,"3 2,380.00"
Brazil,NET &Co Comercio e Serviços em Informát,GERAÇÃO DOS RELATÓRIOS E FINE,"5 6,050.00"
Brazil,NET &Co Comercio e Serviços em Informát,INSTALAÇÃO DA SOLUÇÃO COMPLETA,"273,480.00"
Brazil,A. A. DE ARAÚJO ME,Lote 04 - Receptor GNSS,"3 2,160.00"
Brazil,ANIMA PUBLICIDADES E EVENTOS LTDA,MATERIAIS PROMOCIONAISSUST,"6 4,980.00"
Brazil,SYSTECH SISTEMAS E TECNOLOGIA EM INFORMA,Nova requisição de compras par,"3 3,250.00"
Brazil,NUCELLSYS GMBH,P8 - Célula H2 - Ônibus a Hidr,"8 7,380.00"
Brazil,EPRI INTERNATIONAL,P8 - Lider Consorcio - ÔNIBUS,"137,700.00"
Brazil,ESCRITA E COMÉRCIO E SERVIÇOS,PLACAS DE IDENTIFICAÇÃO DE UC,"4 7,660.00"
Brazil,TST STAG SA,Storage,"184,990.00"
Brazil,SENAISP,SUPRIMENTO DE FUNDOS,"8 8,430.00"
Brazil,EMBAIXADA DO BRASIL EM SAO TOME,SUPRIMENTO DE FUNDOS,"4 3,800.00"
Brazil,SERVIÇO NAC. APRENDIZAGEM INDUSTRIA,SUPRIMENTO DE FUNDOS PARC. 2,"702,820.00"
Burkina Faso,SONAK BURKINA,Achat de matériel informatique,"3 4,760.00"
Burkina Faso,DISTRILAB SARL,Achat de matériel Labo Physique Uni,"4 6,700.00"
Burkina Faso,CFAO MOTORS,Achat de TOYOTA LAND CRUISER,"5 4,070.00"
Burkina Faso,CFAO MOTORS,Achat Toyota Land Cruiser Prad,"5 7,610.00"
Burkina Faso,CFAO MOTORS,Achat véhicule Toyota Land Cru,"7 0,860.00"
Burkina Faso,INFORMATIQUE LOGISTIQUE & SERVICES,Equipements informatiques du P,"3 7,250.00"
Burkina Faso,IMPRESSO,S) Printing,"3 0,880.00"
Burkina Faso,CFAO MOTORS,Toyota Fortuner 4x4 Diesel,"7 8,960.00"
Burkina Faso,CFAO MOTORS,Véhicule Station Wagon 4x4 TOY,"4 1,530.00"
Burkina Faso,CFAO MOTORS,Véhicule Station Wagon 4x4 TOYOTA F,"4 3,560.00"
Burundi,GROUPE MARCK,Achat de 16000 tenues MROP pou,"544,400.00"
Burundi,MAGASIN BONAUTO,Achat de 2 véhicules pickups:,"5 2,500.00"
Burundi,DAN OFFICE,Achat dematériels IT conformém,"4 4,450.00"
Burundi,TOYOTA BURUNDI,Achat d'un vehicule de marque,"3 3,220.00"
Burundi,TOYOTA BURUNDI,Achat d'un vehicule tout terra,"4 3,270.00"
Burundi,NETWORK APPLIANCE CENTER,E) Network routers,"5 0,650.00"
Burundi,PROMO ART,G) Corporate uniforms: salopettes p,"3 0,500.00"
Burundi,GROUPE MARCK,G) Security uniforms,"244,500.00"
Burundi,SYMPHONY BURUNDI,Serveur de Reseau local,"3 1,670.00"
Burundi,SOBELEC,TRANCHE 3 (paiement solde),"104,330.00"
Cambodia,PARTNERSHIPS FOR DEVELOPMENT RESULTS,2QT2011 FACE Exp 2/3-PfDR,"4 6,100.00"
UNDP Continued,,,
Cameroon,UN EDUCATIONAL SCIENTIFIC AND CULTURAL,75755/MOU PNUD/UNESCO,"322,000.00"
Cameroon,IMPRIMERIE POLYPRESSE Sarl,CARTON DE PARAVENT 1 EX 380 X1,"6 2,500.00"
Cameroon,ETS HAMADOU ZAHRA,Livraison et installation moulins -,"3 2,660.00"
Cameroon,ETS GESCO,Plant protection /PHYTOSANITAR,"5 4,520.00"
Cameroon,ETS BETGNA,Travaux de construction du centre d,"7 0,140.00"
Canada,CODE INCORPORATED,60 L. Translucent Ballot Box,"278,390.00"
Canada,CODE INCORPORATED,AIR TRANSPORT,"345,220.00"
Canada,CODE INCORPORATED,AIR TRANSPORT and delivery to Sana',"153,300.00"
Canada,CODE INCORPORATED,CARDBOARD VOTING SCREEN WITH L,"4 0,130.00"
Canada,CODE INCORPORATED,CORRUGATED PLASTIC BALLOT BOX,"9 5,300.00"
Canada,CYME INTERNATIONAL T&D INC,CYMDIST software 2 standalone,"3 8,220.00"
Canada,DMAX DISTRIBUTORS LTD,EFT 100% CTO 608036/11,"100,840.00"
Canada,CODE INCORPORATED,G) Cardboard booth no laminat,"6 7,200.00"
Canada,CODE INCORPORATED,Indelible Ink 25% S.N. 100Ml,"1,050,800.00"
Canada,CODE INCORPORATED,LED CAMPING LAMP WITH BATTERIE,"8 7,580.00"
Canada,CODE INCORPORATED,"Lid for ballot box, dark grey","220,430.00"
Canada,CITATION INTERNATIONAL,Paiement CITATION INTERNATIONA,"9 4,000.00"
Canada,REDLINE COMMUNICATION INC,REDMAX,"6 0,000.00"
Canada,CODE INCORPORATED,Translucent Ballot Box 60Ltr -,"7 5,750.00"
Cape Verde,ASSOC. AGRI.AVIC.PECU. COLUNATO CHÃO BOM,Aquisição e Fixação de Babosa,"3 3,460.00"
Cape Verde,TECNO ATLANTIC LDA,Fact0111/Fact0112 80% Contrato,"7 0,150.00"
Cape Verde,UNICEF - COPENHGEN,NW-S0002087 REFRIG.ELECTROLUX,"3 8,050.00"
Cape Verde,"CABO VERDE MOTORS,SARL","Vehicles, all terrain","4 1,390.00"
Central African Republic,CFAO CENTRAFRIQUE,A) Automobiles or cars,"4 1,130.00"
Central African Republic,LITHOTECH EXPORTS,AIR FREIGHT AND DELIVERY TO WH,"6 5,250.00"
Central African Republic,LITHOTECH EXPORTS,Air freight and delivery to WH,"6 5,250.00"
Central African Republic,L.T. SERVICES,Compilation du Code de Procédu,"4 2,430.00"
Central African Republic,TRADEX RCA,Consommation globale de carbur,"8 9,720.00"
Central African Republic,CFAO CENTRAFRIQUE,"Fourniture,  installation d?un","7 0,500.00"
Central African Republic,TRADEX RCA,"Fuel oils, n.e.c.","121,780.00"
Central African Republic,T.O.T.A.L-CENTRAFRIQUE,"Fuel oils, n.e.c.","5 7,260.00"
Central African Republic,STRATOS ENERGIE,Transport des équipements,"5 3,210.00"
Chad,IMPRIMERIE DU TCHAD,IMPRESSION DE 50 000 GUIDES( v,"6 8,610.00"
Chad,IMPRIMERIE  KOUBIA,IMPRESSION DES DOCUMENTS DE SU,"4 3,440.00"
Chad,CSJEFOD,Observation des élections prés,"120,640.00"
Chad,CONCEL,Observation des élections Prés,"5 3,180.00"
Chad,Societé des Construct° Refect° Entretien,Réalisation des travaux de réh,"6 5,210.00"
Chad,DGASR,S) News and publicity services,"3 9,680.00"
Chad,CSJEFOD,Sensibilisation & Education Ci,"5 7,330.00"
Chile,MEDIA PLANNING CHILE S.A.,DIFUSION CONCIERTOS AÑO JUVENT,"5 0,020.00"
Chile,Telec.y Energia Wireless Ltda.,F2774 TELECOM. Y ENERG.WIRELES,"537,720.00"
China,BEIJING ANDE WENHUA FAZHAN YOUXIAN GONG,E) Tents,"5 3,170.00"
China,CICETE,Expense Distribution,"2,978,690.00"
China,CICETE,FR-CPR/06/209-P51952-Q2/11-USD,"4 6,770.00"
China,CICETE,FR-CPR/10/201-P76400-Q1/11-USD,"213,200.00"
China,CICETE,FR-CPR/10/201-P76400-Q2/11-USD,"1,073,830.00"
China,CICETE,FR-CPR09/210-P69270-Q2/11-CNY,"7 0,790.00"
China,CICETE,FR-P51472-CPR06/508-Q2/11-CNY,"108,360.00"
China,GUANGZHOU WONDFO BIOTECH CO. LTD,RCC117 SupplyRapidHIVTest,"4 8,500.00"
China,GUANGZHOU WONDFO BIOTECH CO. LTD,Supply of Rapid HIV Tests,"9 7,000.00"
China,"TELLHOW SCI-TECH CO.,LTD.","Supply, Delivery and Installat","6 3,590.00"
China,VIN MART,Tables de bureau simple  avec,"3 3,600.00"
China,VIN MART,Tables de bureau simple avec r,"3 3,600.00"
Columbia,METROKIA SA,11185 - OC - 8580 - 00069177 -,"3 2,480.00"
Columbia,DELL COLOMBIA INC,A) Software (license) GARANTIA,"101,270.00"
Columbia,INFORMACION Y TECNOLOGIA SA,ANTICPO 20% CABLEADO,"4 9,950.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CABNLEADO ESTRUCTURADO SEDES,"181,070.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONECTIVIDAD ACCESS POINTS ARR,"3 9,560.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONECTIVIDAD FACT 2981 SERV EN,"4 0,160.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONECTIVIDAD PUNTOS REGULADOS,"4 7,770.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONECTIVIDAD SEDES FACT 2971,"4 0,250.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONECTIVIDAD SEDES FACT 3000,"4 0,640.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONECTIVIDAD SEDES FACT 3004,"4 2,310.00"
Columbia,INFORMACION Y TECNOLOGIA SA,CONEXION CANALES SEDES JUL,"3 6,970.00"
Columbia,INDUSTRIAS HACEB SA,Expense Distribution,"553,550.00"
Columbia,MABE COLOMBIA SA,FACE 010 PAGO 30% MEMOR ACUERD,"371,110.00"
Columbia,CHALLENGER SA,FACE 011 PAGO 30% MEMORANDO AC,"310,380.00"
Columbia,MABE COLOMBIA SA,FACE 06 PRIMER PAGO MEMORA386,"247,410.00"
Columbia,INDUSTRIAS HACEB SA,FACE 07 30% MEMORANDO DE ACUE,"553,550.00"
Columbia,CHALLENGER SA,FACE 08 PAGO 30% SEGUND MEMORA,"310,380.00"
Columbia,DATAPOINT DE COLOMBIA SAS,LICENCIAS BASICO MICROSOFT Y A,"115,020.00"
Columbia,ORACLE COLOMBIA LTDA,LICENCIAS Y MIGRACIÓN,"335,280.00"
Columbia,DAVINCI EDITORES & CIA S EN C,PROCESO 11475 -PS- OBJETO: Servicio,"3 0,020.00"
Columbia,CODIGO DE DISEÑO CERTIFICADO CODICE LTDA,S) Printing,"4 1,220.00"
Columbia,DISTECAR LTDA DISEÑOS TECNOLOGICOS EN AR,SERV ARCHIVO 15% CONTRATO DIAG,"4 5,870.00"
Columbia,ORACLE COLOMBIA LTDA,SOFTWARE EXTENCION GARANTIAS,"6 7,010.00"
Columbia,QUINTEC COLOMBIA SA,SOFTWARE Y SERVICIOS CONEXOS,"6 1,650.00"
Columbia,ORACLE COLOMBIA LTDA,SUMINISTRO SOFTWARE ORACLE,"8 1,840.00"
Comoros,ENTREPRISE MASSULAHA,CONFECTION TABLES BANCS ET LIT,"4 5,610.00"
Comoros,ELEVAGE BARAKA,E) Agricultural machinery & eq,"4 4,190.00"
Comoros,SOCIETE COMORIENNE DE LOISIR,E) Dump trucks,"6 3,690.00"
Comoros,Magasin Mohamed Abdallah,E) Manufactured Articles,"4 7,590.00"
Comoros,MADAF,Expense Distribution,"7 7,350.00"
Comoros,CONCEPT ELECTRONIQUE,POLICE,"3 6,130.00"
Comoros,CONCEPT ELECTRONIQUE,RSS,"4 6,790.00"
"Congo, Republic of the",Toyota Gibraltar Stockholdings Ltd,A) Tank trucks,"279,800.00"
"Congo, Republic of the",SOVEMAC,Achat 2 véhicules Land Cruiser,"141,010.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Charrue portée à 4 disques,"5 0,950.00"
"Congo, Republic of the",Toyota Gibraltar Stockholdings Ltd,E) Armored Vehicles,"719,660.00"
"Congo, Republic of the",Toyota Gibraltar Stockholdings Ltd,HILUX DOUBLE CABIN 6 SEATER MO,"113,630.00"
"Congo, Republic of the",Toyota Gibraltar Stockholdings Ltd,LAND CRUISER 200 STATION WAGON,"5 7,680.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,MOTOR VEHICLES AND PARTS AND ACCESS,"7 3,280.00"
"Congo, Republic of the",U.A.C. sprl,N°044/CAIM/11 CHARETTEPARSEGD,"5 4,710.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,N°90331o Pyt 3e tranche MAE,"796,000.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Pièces de rechange de première,"968,000.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Pulvérisateur de type offset p,"3 5,900.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Remorque basculant de 4-5 tonn,"9 3,100.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,"Semoir à grain portée (paddy,","3 0,530.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Semoir pneumatique à grain pou,"108,140.00"
"Congo, Republic of the",Toyota Gibraltar Stockholdings Ltd,"TOYOTA LAND CRUISER PRADO TX,","3 8,240.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Tracteurs agricoles à roues 70,"5 2,630.00"
"Congo, Republic of the",UNITED EXPORT LIMITED,Tracteurs agricoles à roues de,"804,000.00"
Costa Rica,IMPORTADORA DE TECNOLOGIA GLOBAL YSMR SA,"First and last pymt, SUB-2011-","7 4,450.00"
Costa Rica,UNITED EXPORT LIMITED,PS46852 ADQUISICION DE EQUIPOS,"263,440.00"
Costa Rica,"CAMPBELL SCIENTIFIC, CENTRO CARIBE, S.A.",Purch.equipm. Casas de Justici,"3 6,770.00"
Cote d'Ivoire,OIS AFRIQUE/FONDS PNUD,"DECORTIQUEUSE DE RIZ, CAFE ET","3 5,060.00"
Cote d'Ivoire,YITWO,"DECORTIQUEUSE DE RIZ, CAFE ET MAIS","3 7,620.00"
Cote d'Ivoire,DANISH REFUGEE COUNCIL,E) Agricultural machinery & eq,"115,220.00"
Cote d'Ivoire,DTE (DATONG ENTREPRISE),Expense Distribution,"3 2,500.00"
Cote d'Ivoire,ANADER ZONE TANDA,Justif 1ere tranche DRC FLT,"3 1,500.00"
Cote d'Ivoire,DTE (DATONG ENTREPRISE),MOTOCULTEURS  MODELE DTE - 15,"4 5,760.00"
Cote d'Ivoire,"MEXICHEM COSTA RICA, S.A.",TO CORRECT VCH 52356 -RF1 SAKA,"4 1,700.00"
Cote d'Ivoire,INTERNATIONAL RESCUE COMMITTEE (IRC),TO CORRECT VCH 52357-RF1 OIS,"123,330.00"
Cote d'Ivoire,ANADER ZONE DE SAKASSOU,TO CORRECT VCH 54627-RF1 TDA,"3 5,200.00"
Croatia,FINGAR ZAGREB D.O.O.,E) Building Maintenance & Repa,"199,840.00"
Croatia,YITWO,ENEL-ATM additional equipment,"3 4,620.00"
Croatia,ENEL-ATM D.O.O.,Equipment for High School's Gy,"3 1,010.00"
Cuba,B.D.C INTERNATIONAL S.A.,EFT 100% CTO 608036/11,"100,840.00"
Cuba,HEDOM D.O.O.,SPARE PARTS FOR LAB. EQUIPMENT,"3 0,120.00"
Cuba,DMAX DISTRIBUTORS LTD,TRUCK,"3 6,000.00"
UNDP Continued,,,
Cyprus,TOKMAKJIAN INTERNATIONAL INC.,CMP: Excavation Services,"3 2,520.00"
Cyprus,Democr People's Repub of Korea,Drain Pipe. Inside ? 219 mm. Thickn,"6 8,000.00"
Cyprus,MUSTAFA TAHSIN,E) Laboratory Equipment,"8 7,760.00"
Cyprus,ShenYang GoldenPack Technic Development,Truck Huanghe ZZ3164G4015C1,"5 8,000.00"
Cyprus,ShenYang GoldenPack Technic Development,Wheel shovel loader Lingong LG953,"5 2,290.00"
Democratic Rep. of the Congo,RADIO TELEVISION NATIONALE CONGOLAISE,- 6 Duplicopieur Risographe mo,"4 3,800.00"
Democratic Rep. of the Congo,DAN OFFICE,4 HP multifunction printer las,"139,380.00"
Democratic Rep. of the Congo,AFUNET,A) Scanners,"3 9,520.00"
Democratic Rep. of the Congo,RADIOCOM,Achat de 100 matelas et 8 rése,"4 6,540.00"
Democratic Rep. of the Congo,ECOMITRA,ACHAT MOTO Senke,"7 6,200.00"
Democratic Rep. of the Congo,CFAO  MOTORS RDC,Achat véhicule 4X4 TOYOTA FORT,"4 0,000.00"
Democratic Rep. of the Congo,Emballage des préserva,AIR cargo to Kinshasa,"5 8,780.00"
Democratic Rep. of the Congo,AGB,Audits sur les dépenses PPTE,"3 1,770.00"
