Contractor,Cty,Value in €,Purpose of the Purchase Order,Type,Year,Period,Country,Procurement-or-bidding
INDRA,ESP,1397900,SERVICES FOR HELICOPTER,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,1622777,DANROLL 4 EJES 8*4,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
DANIMA ENGINEERING ENVIRONMENTAL SA,ESP,1660402,SMIC,Orders Awarded,2012,Q1Q2,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE,ESP,2490968,NIGHT VISION DEVICE,Orders Awarded,2012,Q3Q4,Spain,PROCUREMENT
EUROCOPTER ESPANA SA (ECESA,ESP,4000000,PROCUREMENT  INSTALLATION AND CERTIFICATION OF MACHINE GUN SYSTEMS,Outline Agreement,2012,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,82000,FUZES,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,82040,SUPPLY OF SPARE PARTS FOR CN-235 AIRCRAFT,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,85360,PROCUREMENT OF CONSOLE RADAR,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
EADS CONSTRUCCIONES AERONAUTICAS,ESP,85813,SUPPLY OF WINDOW PANEL FOR CN-235 AIRCRAFT,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
ALJANOBAR SL,ESP,89900,LOGISTICS SERVICES,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
AQUALUNG ESPANA SL,ESP,104720,SUPPLY OF SEA LV-2 MIFLEX AND ADAPTER,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,118422,SUPPLY OF WINDOW PANELS FOR CN235 AIRCRAFT,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,170000,SUPPLY OF CARTRIDGES,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,198055,SUPPLY OF TECHNICAL DOCUMENTATION FOR 5 YEARS,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EUROCOPTER ESPANA SA (ECESA,ESP,200000,INSPECTION/REPAIR OF AS532 COUGAR HELI ITEMS,Outline Agreement,2013,Q1Q2,Spain,PROCUREMENT
AQUALUNG ESPANA SL,ESP,225495,SUPPLY OF VARIOUS SPARE PARTS FOR HELICOPTERS,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,234000,SUPPLY OF 155MM PROJECTILES,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,297000,CARTRIDGES 12.7 MM,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
AQUALUNG ESPANA SL,ESP,299295,SUPPLY OF SURVIVAL MATERIAL,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
CONSULTORES DE SISTEMAS DE,ESP,371250,FUZES,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
INSTALAZA SA,ESP,379680,SISTEMA COHETE,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,381790,CARTRIDGE 12.7 MM X 99 MM,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,385000,REPAIR SERVICES FOR SUPER PUMA  COUGAR  CH-47 & EC-135 HELICOPTERS,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,429234,SUPPLY OF VARIOUS SPARE PARTS FOR CN-235 AIRCRAFT,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,445500,CARTRIDGE 12.7 MM,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,454488,SUPPLY OF SPARE PARTS FOR CN-235 AIRCRAFT,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE,ESP,460110,SUPPLY OF VIEWER NIGHT VISION,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
SUYFA,ESP,500000,ASTRA SPARE PARTS,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,523909,SUPPLY OF FLAPS,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
AEG,ESP,600000,BATTERIES,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,614475,MAINTENANCE SUPPORT OF SIMACET,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
EMS SHIP SUPPLY (SPAIN) SA,ESP,750000,PROVISON OF FOOD,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
BLANCH INTERNACIONAL ASOCIADOS SL,ESP,797545,HEATING VENTILATION AND AIR CONDITIONING (HVAC) UNITS,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,900950,CARTRIDGE 76 MM,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,955500,SUPPLY OF PROPELLING CHARGES,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
AERLYPER SA,ESP,1000000,EC-135 HELICOPTER AIR CONDITIONING SYSTEM,Outline Agreement,2013,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,1115789,DEMILITARIZATION TASKS,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
IVECO,ESP,1155000,ASTRA SPARE PARTS,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,1375109,SUPPLY OF SPARE PARTS FOR UAV PASI PROJECT,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
PARAFLY SA,ESP,1420500,CARGO PARACHUTE,Outline Agreement,2013,Q1Q2,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,1481500,SUPPLY OF CARTRIDGES,Orders Awarded,2013,Q1Q2,Spain,PROCUREMENT
GENERAL DYNAMICS,ESP,1506000,CARTRIDGE 1.7 MM X 99 MM,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
INAER MAINTENANCE SAU,ESP,1868632,AB-212 HELICOPTER OVERHAUL PROJECT,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,2694388,SUPPLY OF WING LANDING FLAPS FOR CN-235 AIRCRAFT,Orders Awarded,2013,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,5000000,PASI UNMANNED AIRCRAFT SYSTEM MAINTENANCE,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
EUROCOPTER ESPANA SA (ECESA,ESP,14814386,OVERHAUL SUPER PUMA  COUGAR  EC-135 HELI ITEMS,Outline Agreement,2013,Q1Q2,Spain,PROCUREMENT
IBERIA AIRLINES OF SPAIN,ESP,37418115,A319CJ FLEET INTEGRATED LOGISTIC SUPPORT,Outline Agreement,2013,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,,MYT13011,,2013,Q3Q4,Spain,BIDDING
INAER MAINTENANCE S.A.U.,ESP,,ANH13022,,2013,Q3Q4,Spain,BIDDING
EUROCOPTER,ESP,,ANH13022,,2013,Q3Q4,Spain,BIDDING
EUROPAVIA ESPANA S.A.,ESP,,ANH13003B,,2013,Q3Q4,Spain,BIDDING
IVECO ESPANA SL,ESP,,PIO13152,,2013,Q3Q4,Spain,BIDDING
STAR DEFENSE LOGISTICS & ENGINEERING,ESP,,PIO13152,,2013,Q3Q4,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,PIO13152,,2013,Q3Q4,Spain,BIDDING
EUROCOPTER,ESP,,ANH13031,,2013,Q3Q4,Spain,BIDDING
AEROSPACE ENGINEERING GROUP EUROPE,ESP,,JLA13A068,,2013,Q3Q4,Spain,BIDDING
AEROSPACE ENGINEERING GROUP EUROPE,ESP,,JLA13A069,,2013,Q3Q4,Spain,BIDDING
"SERIN, SERVICIOS E INGENIERIA S.L",ESP,,ELK13056,,2013,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,FJA13039,,2013,Q3Q4,Spain,BIDDING
EXPORT CREATING BUSINESS SL,ESP,,BBE13004,,2013,Q3Q4,Spain,BIDDING
SUYFA,ESP,96000,MILITARY VEHICLE SPARE PARTS,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,106503,ENGAGING DEVICE AIRCRAFT ARRESTING BARRI,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,113400,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
PARAFLY SA,ESP,125255,PILOT CHUTE,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
EADS-CASA,ESP,137635,PLATE WEAR BRAKE SHOE,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,144745,RING,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE,ESP,156000,SIGHT THERMAL,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
AMPER PROGRAMAS DE ELECTRONICA,ESP,164015,SUPPORT RADIO RECEIVER,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
SDLE,ESP,175000,MILITARY VEHICLE SPARE PARTS,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,199500,FILTER ELEMENT FLUID,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
EPICOM SA,ESP,234000,ENCRYPTION-DECRYPTION EQUIPMENT,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,236017,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
SUYFA DEFENCE SL,ESP,238440,TIRE PNEUMATIC VEHICULAR,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
AEROSPACE ENGINEERING GROUP EUROPE,ESP,250000,C-130 INSPECTION/REPAIR SERVICES,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
SUYFA DEFENCE,ESP,260000,CONCERTINA BARBED WIRE AND ACCESSORIES,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,267218,TRANSPORT,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,301800,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
TOLDER CARPAS Y TOLDOS SL,ESP,334938,BUILDING PREFABRICATED READY-CUT,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,379169,HELICOPTERS PLATE ASSY KIT,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
GAUZON IBERICA SL,ESP,405875,DOUBLE LOCK DECOMPRESSION CHAMBER,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
EADS-CASA,ESP,420062,RUBBER ROUND SECTION,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
SUYFA DEFENCE S.L,ESP,450000,VEHICLE SPARE PARTS (PIRANHA),Outline Agreement,2014,Q3Q4,Spain,PROCUREMENT
YUMA SA,ESP,464400,TENTS SPARE PARTS,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,484080,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,586356,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,672000,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,810000,CYLINDER AND PISTON ASSEMBLY  LANDING GE,Outline Agreement,2014,Q3Q4,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,1000000,12 7X99MM LINKED 4 API/1 TRACER,Outline Agreement,2014,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,1294222,DEMILITARIZATION,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
GENERAL DYNAMICS EUROPEAN LAND SYST,ESP,1363905,ANTI-TANK GUIDE MISSILE SYSTEM,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,1370000,FAN CENTRIFUGAL,Outline Agreement,2014,Q3Q4,Spain,PROCUREMENT
MBDA ESPANA SL,ESP,1500000,ML-3 INSPECTION/REPAIR SERVICES,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
URO VEHICULOS ESPECIALES S.A,ESP,1750000,MILITARY VEHICLES SPARE PARTS,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
THALES PROGRAMAS DE ELECTRONICA,ESP,1943125,PURCHASE OF PR4G SPARE PARTS,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,1960711,FAST ROPING SYSTEM,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,2019120,SUPPLY OF AMMUNITION,Orders Awarded,2014,Q1Q2,Spain,PROCUREMENT
MARCO ENERGY SYSTEM SL,ESP,2300000,MOBILE GENERATORS,Outline Agreement,2014,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,3070739,MAINTENANCE,Orders Awarded,2014,Q3Q4,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,5500000,SERVO CYLINDER,Outline Agreement,2014,Q3Q4,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,7000000,SUPPLY OF AMMUNITION,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
TECHNIK COUNSULTING ALVADE S.L,ESP,14650000,NIGHT VISION DEVICE,Outline Agreement,2014,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,,MUO14003,,2014,Q1Q2,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,MUO14004,,2014,Q1Q2,Spain,BIDDING
NAMMO PALENCIA SL,ESP,,MUO14004,,2014,Q1Q2,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,SMA14002,,2014,Q1Q2,Spain,BIDDING
SDLE S.L.,ESP,,SMA14002,,2014,Q1Q2,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,APL14006,,2014,Q1Q2,Spain,BIDDING
AMPER PROGRAMAS DE ELECTRONICA,ESP,,AGR14014,,2014,Q1Q2,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,SMA14012,,2014,Q1Q2,Spain,BIDDING
STAR DEFENSE LOGISTICS & ENGINEERING,ESP,,PIO14013,,2014,Q1Q2,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,PIO14013,,2014,Q1Q2,Spain,BIDDING
SOFEMA,ESP,,CBO14007,,2014,Q1Q2,Spain,BIDDING
STAR DEFENSE LOGISTICS & ENGINEERING,ESP,,CBO14007,,2014,Q1Q2,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,MUO14009,,2014,Q1Q2,Spain,BIDDING
AIRBUS HELICOPTERS,ESP,,ANH14018,,2014,Q1Q2,Spain,BIDDING
EUROPAVIA ESPANA S.A.,ESP,,ANH14018,,2014,Q1Q2,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,APL14005,,2014,Q1Q2,Spain,BIDDING
EUROPAVIA ESPANA S.A.,ESP,,ANH14022,,2014,Q1Q2,Spain,BIDDING
EUROPAVIA ESPANA S.A.,ESP,,ANH14021,,2014,Q1Q2,Spain,BIDDING
FABRICA ESPANOLA DE CONFECCIONES SA,ESP,,ELK14070,,2014,Q1Q2,Spain,BIDDING
NIGHT VISION LASERS S.L.,ESP,,MNE140030A,,2014,Q3Q4,Spain,BIDDING
AEROSPACE ENGINEERING GROUP EUROPE,ESP,,JLA14A030,,2014,Q3Q4,Spain,BIDDING
ACADEMIA ESPANOLA INTELIGENCIA (A.E.I.),ESP,,MYT14004,,2014,Q3Q4,Spain,BIDDING
AIRBUS HELICOPTERS,ESP,,ANH14030,,2014,Q3Q4,Spain,BIDDING
NAMMO PALENCIA SL,ESP,,STE14082,,2014,Q3Q4,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,SMA14024,,2014,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,STE14084,,2014,Q3Q4,Spain,BIDDING
AIRBUS HELICOPTERS,ESP,,ANH14037,,2014,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,STE14089,,2014,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,ASA14019,,2014,Q3Q4,Spain,BIDDING
NAMMO PALENCIA SL,ESP,,ASA14019,,2014,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,FJA14032,,2014,Q3Q4,Spain,BIDDING
AIRBUS HELICOPTERS,ESP,,ANH14043,,2014,Q3Q4,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,CBO14025/CBO14025A,,2014,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,ASA14020,,2014,Q3Q4,Spain,BIDDING
COMERCIAL HERNANDO MORENO COHEMO SL,ESP,85330,BREMSSCHEIBE,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,91940,BLADE ROTARY WING,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
MIGERTRON SEGURIDAD SL,ESP,97291,DE-ARMOUR DISRUPTER,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,99274,INTERFACE UNIT COMMUNICATION EQUIPMENT,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
TECHNIK CONSULTING ALVADE,ESP,106000,SIGHT THERMAL,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,113687,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,118800,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
ADARO TECNOLOGIA SA,ESP,125000,NBC MATERIEL EQUIPMENT,Outline Agreement,2015,Q1Q2,Spain,PROCUREMENT
HISPANO VEMA,ESP,130000,DECONTAMINATION SYSTEM,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
BLANCH INTERNACIONAL ASOCIADOS SL,ESP,131040,NIGHT VISION XACT NV 32,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,136000,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,141180,ADAPTER-BOOSTER,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
SUYFA DEFENCE SL,ESP,175000,VEHICLE SPARE PARTS,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
CASLI SA,ESP,179600,BLOWER  AIR CLEANER,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,180540,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
INSTALAZA SA,ESP,185100,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
NUCLEO DE COMUNICACIONES Y CONTROL SL,ESP,221100,CONTROL BOX GENERATOR SET,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
GENERAL DYNAMICS EUROPEAN LAND SYST,ESP,221377,RIVET SOLID,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
REPMAN SL,ESP,236500,INSPECTION AND MAINTENANCE ON CRANES,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
LANGA INDUSTRIAL SA,ESP,251600,NITROGEN CART,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,271800,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
MIGERTRON SEGURIDAD SL,ESP,293872,SUPPORT TELEVISION CAMERA,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,297500,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
ASON ELECTRONICA AERONAUTICA,ESP,300000,MONTHLY INSPECTION ON JEMA FREQUENCY CONVERTER H-5340,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
REPMAN SL,ESP,357000,FORKLIFT URO DTH-2000 TT,Outline Agreement,2015,Q1Q2,Spain,PROCUREMENT
EUROPAVIA ESPANA SA,ESP,413413,COUPLER DIRECTIONAL,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,416200,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,420462,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
VEOLIA SERVICIOS LECAM SAU,ESP,430000,MONTHLY INSPECTION ON COMPRESSOR- DRYER 18.5 KW-3.6KW,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
NIGHTVISION LASERS SPAIN SLU,ESP,448784,FULL EVOLUTION KIT NVG BM8043-A04E,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,450000,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
INNOVATION FOR SHELTER SL,ESP,450000,MODULAR COLPRO TENT,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
BLANCH INTERNACIONAL ASOCIADOS SL,ESP,486164,NIGHT VISION DEVICES,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
INDRA SISTEMAS SA,ESP,500000,DEPOT LEVEL MAINTENANCE (DLM),Outline Agreement,2015,Q1Q2,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,502000,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,504000,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
PARAFLY SA,ESP,520295,PARACHUTE CARGO,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
IBATECH TECNOLOGIA SL,ESP,600000,BIO DETECTION SYSTEM FOR PCR TECHNOLOGY,Outline Agreement,2015,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,862500,DEMILITARIZATION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
IVECO ESPANA SL,ESP,1079000,REFUELING TRUCK   TACTICAL,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,1086768,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,1150000,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
THALES PROGRAMAS DE ELECTRONICA,ESP,1212544,CIRCUIT CARD ASSEMBLY,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,1707111,PURCHASES OF AMMUNITION,Orders Awarded,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,2301720,SUPPLY OF AMMUNITION,Orders Awarded,2015,Q1Q2,Spain,PROCUREMENT
AIRBUS HELICOPTERS,ESP,2925000,INSPECTION  REPAIR AND OVERHAUL OF AS532 COUGAR HELICOPTER COMPONENTS,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
SUYFA DEFENCE SL,ESP,4386000,VEHICLE SPARE PARTS,Outline Agreement,2015,Q3Q4,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,5000000,SUPPLY OF AMMUNITION,Outline Agreement,2015,Q1Q2,Spain,PROCUREMENT
INNOVATION FOR SHELTER,ESP,13000000,SPARE PARTS FOR TENTS,Outline Agreement,2015,Q1Q2,Spain,PROCUREMENT
TECNOVE SECURITY SL,ESP,,SDB140008,,2015,Q1Q2,Spain,BIDDING
BEYONDS SOLUTIONS & SERVICES S.L.,ESP,,DQU15020,,2015,Q1Q2,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,MUO15008R1,,2015,Q1Q2,Spain,BIDDING
AIRBUS HELICOPTERS,ESP,,ANH15012,,2015,Q1Q2,Spain,BIDDING
MIGERTRON SEGURIDAD S.L.,ESP,,ELK15056,,2015,Q1Q2,Spain,BIDDING
HISPANO VEMA S.L.,ESP,,PIO15011,,2015,Q1Q2,Spain,BIDDING
EMS SEVEN SEAS (SPAIN) SA,ESP,,BBE15002,,2015,Q1Q2,Spain,BIDDING
NAMMO PALENCIA SL,ESP,,STE15011,,2015,Q1Q2,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,MUO15012,,2015,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,FJA15035,,2015,Q3Q4,Spain,BIDDING
EXPAL SYSTEMS SA,ESP,,MUO15016,,2015,Q3Q4,Spain,BIDDING
UCALSA S.A,ESP,,STO150004,,2015,Q3Q4,Spain,BIDDING
TECNOVE SECURITY SL,ESP,,STO150004,,2015,Q3Q4,Spain,BIDDING
TECNOVE SECURITY SL,ESP,,STA150001,,2015,Q3Q4,Spain,BIDDING
UCALSA S.A,ESP,,STA150001,,2015,Q3Q4,Spain,BIDDING
TECNOVE SECURITY SL,ESP,,STA150004,,2015,Q3Q4,Spain,BIDDING
UCALSA S.A,ESP,,STA150004,,2015,Q3Q4,Spain,BIDDING
TECNOVE SECURITY SL,ESP,,STA150003,,2015,Q3Q4,Spain,BIDDING
UCALSA S.A,ESP,,STA150003,,2015,Q3Q4,Spain,BIDDING
TECNOVE SECURITY SL,ESP,,STA150002,,2015,Q3Q4,Spain,BIDDING
UCALSA S.A,ESP,,STA150002,,2015,Q3Q4,Spain,BIDDING
INTEGRACION TECNOLOGICA EMPRESARIAL,ESP,,ABO16015,,2015,Q3Q4,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,ABO16015,,2015,Q3Q4,Spain,BIDDING
AEROSERTEC,ESP,,ECA15013,,2015,Q3Q4,Spain,BIDDING
EUROPEAN SECURITY FENCING,ESP,,DCO15022,,2015,Q3Q4,Spain,BIDDING
SUYFA DEFENCE SL,ESP,,DCO15022,,2015,Q3Q4,Spain,BIDDING
EPICOM SA,ESP,84000,IP ENCRYPTION EQUIPMENT EP430TX,Orders Awarded,2016,Q1Q2,Spain,PROCUREMENT
EXPAL SYSTEMS SA,ESP,87300,PURCHASE OF AMMUNITIONS,Orders Awarded,2016,Q1Q2,Spain,PROCUREMENT
YUMA SA,ESP,89280,RECEIVER-TRANSMITTERRADIO,Orders Awarded,2016,Q1Q2,Spain,PROCUREMENT
AQUALUNG ESPANA SL,ESP,89934,"SUPPLY OF SEA MK 20 CF -27"" MIFLEX HOSE- DIAL",Orders Awarded,2016,Q3Q4,Spain,PROCUREMENT
BLANCH INTERNACIONAL ASOCIADOS SL,ESP,93696,HELMET MONOCULAR ADAPTER,Orders Awarded,2016,Q1Q2,Spain,PROCUREMENT
NAMMO PALENCIA SL,ESP,94500,PURCHASE OF SIGNAL AMMUNITION,Orders Awarded,2016,Q3Q4,Spain,PROCUREMENT
